country,population,gdp_per_capita_scaled,health_expenditure_per_person_scaled,government_effectiveness_scaled,womenMPs_scaled,TotalCases_scaled,TotalDeaths_scaled,TotalCasesPerM_scaled,DeathsPerM_scaled,TotalTests_scaled,TestsPerM_scaled,age_over_65_percentage_scaled,percentageDied_scaled,gdp_per_capita,health_expenditure_per_person,government_effectiveness,womenMPs,TotalCases,TotalDeaths,TotalCasesPerM,DeathsPerM,TotalTests,TestsPerM,age_over_65_percentage,percentageDied
Finland,6000000,0.30923737,0.379022015,0.922413793,0.858895706,0.003785459,0.002116977,0.111731844,0.033490672,0.014026071,0.081169785,0.778784447,0.15,42165,3669,1.94,42,3489,82,630,15,52500,9475,21.72,2.35
France,67000000,0.310441225,0.471422523,0.752873563,0.797546012,0.210718163,0.506907314,0.406739953,0.642616318,0.131381997,0.060683008,0.714986787,0.84,42314,4542,1.35,39,147969,18681,2267,286,463662,7103,20.03,12.62
Germany,83000000,0.357278478,0.557684166,0.859195402,0.756646217,0.198877682,0.113963903,0.298612363,0.112160036,0.492357602,0.177506003,0.768969422,0.19,48111,5357,1.72,37,139702,4203,1667,50,1728357,20629,21.46,3.01
Greece,11000000,0.18403639,0.223962743,0.454022989,0.374233129,0.001973652,0.002822635,0.036583168,0.022252192,0.013532571,0.0414054,0.776519441,0.32,26669,2204,0.31,18.3,2224,108,213,10,50771,4871,21.66,4.86
Hungary,10000000,0.190605079,0.193056732,0.511494253,0.206543967,0.001313381,0.00412539,0.030996576,0.035738368,0.010912084,0.036516902,0.682144205,0.58,27482,1912,0.51,10.1,1763,156,182,16,41590,4305,19.16,8.85
Iceland,300000,0.365560035,0.426333616,0.781609195,0.973415133,0.001300491,0.000135704,0.924490899,0.058215329,0.010325821,1,0.517553794,0.02,49136,4116,1.45,47.6,1754,9,5140,26,39536,115859,14.8,0.51
India,1339000000,0.022016822,0.015876376,0.390804598,0.241308793,0.018603605,0.012159045,0,0.000449539,0.094693749,0.001433729,0.19214798,0.21,6616,238,0.09,11.8,13835,452,10,0.3,335123,243,6.18,3.27
Indonesia,264000000,0.063254935,0.029741744,0.376436782,0.404907975,0.007271576,0.014004614,0.002162552,0.004270623,0.00964023,0.000509578,0.18006795,0.58,11720,369,0.04,19.8,5923,520,22,2,37134,136,5.86,8.78
Iraq,38000000,0.113542163,0.041596105,0,0.517382413,0.000910916,0.002089836,0.004865742,0.004270623,0.013808292,0.010442038,0.08418271,0.36,17944,481,-1.27,25.3,1482,81,37,2,51737,1286,3.32,5.47
Ireland,4700000,0.527918946,0.555355631,0.735632184,0.45398773,0.018811283,0.014276021,0.508379888,0.240278714,0.024913894,0.157891555,0.482446206,0.24,69231,5335,1.29,22.2,13980,530,2831,107,90646,18358,13.87,3.79
Israel,9000000,0.25279351,0.289055885,0.764367816,0.562372188,0.017381889,0.003989687,0.26851685,0.037986064,0.052487094,0.186186108,0.411098528,0.07,35179,2819,1.39,27.5,12982,151,1500,17,187250,21634,11.98,1.16
Italy,61000000,0.266157115,0.345364098,0.50862069,0.63394683,0.245758367,0.617207219,0.512164354,0.844908968,0.354140818,0.177056883,0.817667044,0.88,36833,3351,0.5,31,172434,22745,2852,376,1244108,20577,22.75,13.19
Japan,127000000,0.302046554,0.4569221,0.83045977,0.190184049,0.012009487,0.005048175,0.011353397,0.004270623,0.027784414,0.006209946,1,0.13,41275,4405,1.62,9.3,9231,190,73,2,100703,796,27.58,2.06
Kazakhstan,18000000,0.171723129,0.086261643,0.367816092,0.554192229,0.001002581,0.000352829,0.012975311,0.001798157,0.023512172,0.038771139,0.237825595,0.06,25145,903,0.01,27.1,1546,17,82,0.9,85735,4566,7.39,1.1
Lithuania,2900000,0.210723202,0.189140559,0.646551724,0.435582822,0.000433974,0.000787081,0.074247612,0.026747584,0.014197612,0.16780674,0.702906757,0.18,29972,1875,0.98,21.3,1149,33,422,12,53101,19506,19.71,2.87
Luxembourg,600000,0.80886167,0.666172735,0.847701149,0.578732106,0.003772569,0.001845569,1,0.258260283,0.008287316,0.446286988,0.494148735,0.13,104003,6382,1.68,28.3,3480,72,5559,115,32394,51749,14.18,2.07
Malaysia,32000000,0.188867972,0.103302286,0.606321839,0.212678937,0.006309099,0.002225539,0.027392323,0.006518319,0.02664043,0.025142077,0.210645527,0.1,27267,1064,0.84,10.4,5251,86,162,3,96695,2988,6.67,1.64
Mexico,129000000,0.121573253,0.097480948,0.356321839,0.871165644,0.007807241,0.013081829,0.007028293,0.008766015,0.010484232,0.00202104,0.231408079,0.51,18938,1009,-0.03,42.6,6297,486,49,4,40091,311,7.22,7.72
